participant_id,session_timestamp,session_uuid,unix_timestamp_ms,event_type,game_mode,game_phase,target_id,target_type,target_x_normalized,target_y_normalized,target_x_pixels,target_y_pixels,target_index,game_score_at_event
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451485711,stimuli_stop,hands-fixed,starting,neutral_figure8_001,hand,0.5,0.5,720,655.5,13,13
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451485711,stimuli_start,hands-fixed,targeting,right_hand_figure8_trial1_002,hand-right,0.653073372946036,0.7121320343559642,940.4256570422917,933.6050970406691,14,13
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451486695,stimuli_stop,hands-fixed,targeting,right_hand_figure8_trial1_002,hand-right,0.653073372946036,0.7121320343559642,940.4256570422917,933.6050970406691,14,14
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451486695,stimuli_start,hands-fixed,targeting,right_hand_figure8_trial1_003,hand-right,0.7828427124746191,0.7999999999999999,1127.2935059634515,1048.8,15,14
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451487118,stimuli_stop,hands-fixed,targeting,right_hand_figure8_trial1_003,hand-right,0.7828427124746191,0.7999999999999999,1127.2935059634515,1048.8,15,15
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451487118,stimuli_start,hands-fixed,targeting,right_hand_figure8_trial1_004,hand-right,0.8695518130045148,0.7121320343559643,1252.1546107265012,933.6050970406692,16,15
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451488200,stimuli_stop,hands-fixed,targeting,right_hand_figure8_trial1_004,hand-right,0.8695518130045148,0.7121320343559643,1252.1546107265012,933.6050970406692,16,16
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451488200,stimuli_start,hands-fixed,targeting,right_hand_figure8_trial1_005,hand-right,0.9,0.5,1296,655.5,17,16
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451488319,stimuli_stop,hands-fixed,targeting,right_hand_figure8_trial1_005,hand-right,0.9,0.5,1296,655.5,17,17
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451488319,stimuli_start,hands-fixed,targeting,right_hand_figure8_trial1_006,hand-right,0.8695518130045148,0.2878679656440358,1252.1546107265012,377.39490295933086,18,17
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451488612,stimuli_stop,hands-fixed,targeting,right_hand_figure8_trial1_006,hand-right,0.8695518130045148,0.2878679656440358,1252.1546107265012,377.39490295933086,18,18
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451488612,stimuli_start,hands-fixed,targeting,right_hand_figure8_trial1_007,hand-right,0.7828427124746191,0.19999999999999998,1127.2935059634515,262.2,19,18
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451489843,stimuli_stop,hands-fixed,targeting,right_hand_figure8_trial1_007,hand-right,0.7828427124746191,0.19999999999999998,1127.2935059634515,262.2,19,19
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451489843,stimuli_start,hands-fixed,targeting,right_hand_figure8_trial1_008,hand-right,0.653073372946036,0.2878679656440357,940.4256570422917,377.3949029593308,20,19
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451490746,stimuli_stop,hands-fixed,targeting,right_hand_figure8_trial1_008,hand-right,0.653073372946036,0.2878679656440357,940.4256570422917,377.3949029593308,20,20
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451490746,stimuli_start,hands-fixed,targeting,right_hand_figure8_trial1_009,hand-right,0.5000000000000001,0.4999999999999999,720.0000000000001,655.4999999999999,21,20
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451494392,stimuli_stop,hands-fixed,targeting,right_hand_figure8_trial1_009,hand-right,0.5000000000000001,0.4999999999999999,720.0000000000001,655.4999999999999,21,21
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451494392,stimuli_start,hands-fixed,targeting,right_hand_figure8_trial1_010,hand-right,0.34692662705396415,0.7121320343559642,499.5743429577084,933.6050970406691,22,21
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451495903,stimuli_stop,hands-fixed,targeting,right_hand_figure8_trial1_010,hand-right,0.34692662705396415,0.7121320343559642,499.5743429577084,933.6050970406691,22,22
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451495903,stimuli_start,hands-fixed,targeting,right_hand_figure8_trial1_011,hand-right,0.217157287525381,0.7999999999999999,312.70649403654863,1048.8,23,22
